year,harvest_area_ha,plant_area_ha,production_mass_t,yield_t_ha,t2m_min_1,t2m_min_2,t2m_min_3,t2m_min_4,t2m_min_5,t2m_min_6,t2m_min_10,t2m_min_11,t2m_min_12,t2m_max_1,t2m_max_2,t2m_max_3,t2m_max_4,t2m_max_5,t2m_max_6,t2m_max_10,t2m_max_11,t2m_max_12,t2m_mean_1,t2m_mean_2,t2m_mean_3,t2m_mean_4,t2m_mean_5,t2m_mean_6,t2m_mean_10,t2m_mean_11,t2m_mean_12,precip_mm_1,precip_mm_2,precip_mm_3,precip_mm_4,precip_mm_5,precip_mm_6,precip_mm_10,precip_mm_11,precip_mm_12,heatwave_35_1,heatwave_35_2,heatwave_35_3,heatwave_35_4,heatwave_35_5,heatwave_35_6,heatwave_35_10,heatwave_35_11,heatwave_35_12,heatwave_30_1,heatwave_30_2,heatwave_30_3,heatwave_30_4,heatwave_30_5,heatwave_30_6,heatwave_30_10,heatwave_30_11,heatwave_30_12,frost_1,frost_2,frost_3,frost_4,frost_5,frost_6,frost_10,frost_11,frost_12,heavy_rain_1,heavy_rain_2,heavy_rain_3,heavy_rain_4,heavy_rain_5,heavy_rain_6,heavy_rain_10,heavy_rain_11,heavy_rain_12,dry_spell_max_1,dry_spell_max_2,dry_spell_max_3,dry_spell_max_4,dry_spell_max_5,dry_spell_max_6,dry_spell_max_10,dry_spell_max_11,dry_spell_max_12,flood_risk_1,flood_risk_2,flood_risk_3,flood_risk_4,flood_risk_5,flood_risk_6,flood_risk_10,flood_risk_11,flood_risk_12,target_yield_t_ha
2004,317834.0,318038.0,774695.0,2.44,-3.2533500384612903,-3.1779406033103443,1.3889130799354839,5.032075996666666,9.46519716451613,14.263512183333335,,,,2.860474619677419,4.428759351724137,11.144585407096773,14.659422816666668,19.57217606451613,24.340249633333332,,,,-0.8243152432258065,0.023019709999999867,5.603728294516128,9.525518746666668,14.417431290322579,19.390902666666666,,,,47.8712215423584,24.455827116966248,13.753382205963135,35.12705326080322,21.86599111557007,24.981359720230103,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,25.0,21.0,14.0,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,7.0,17.0,10.0,25.0,17.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.44
2005,324716.0,325034.0,731333.0,2.25,-1.036627010967742,-2.087141864107143,1.818508007096774,5.74291484,10.211961341935483,13.84088645,10.597318532258063,3.094217952,-0.9414121669354839,6.028365647290323,5.130957455714286,10.717087258064517,15.43727004,20.277032580645162,24.190303500000002,20.45088138709677,10.915078796666668,6.560915042258065,1.4962876907419356,0.6364527883928571,5.598297116354839,10.193161022100002,15.205514141935485,19.064815316666667,14.561266483870968,6.1220753383333335,1.671260710967742,34.690762877464294,20.179982781410217,20.999956727027893,33.64612674713135,28.66092824935913,11.985762357711792,14.715425491333008,46.4530086517334,15.635040521621704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.0,9.0,5.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,20.0,7.0,11.0,27.0,27.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25
2006,330938.2,333366.2,948673.0,2.87,-3.941756698064516,-1.7156502963357145,2.0209409732258066,6.661976113333334,9.948830932258065,15.616142916666666,7.067953793548387,1.9133107436666668,-0.07381314354838704,2.9145252096774197,5.782766046428571,10.649402219354839,16.080576566666664,20.184711112903223,26.014031,15.762126258064518,9.33430175,8.020749983870967,-1.4476879483870968,1.1729681771428573,5.665058696774194,10.949400796666668,15.055351935483872,20.767438733333332,10.578389851612902,4.654708828333333,2.772860619354839,25.342295169830322,19.37152624130249,23.59954023361206,39.91678071022034,24.060645818710327,13.54349970817566,20.938861846923828,53.445666790008545,26.06952714920044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,16.0,6.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,8.0,10.0,7.0,12.0,17.0,20.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.87
2007,274368.8,299969.6,525787.0,1.92,-2.9521533656451613,-2.4180624707142857,1.5427029381290323,3.4029093536666664,11.942314967741936,15.933035333333333,10.088235206451612,1.7665924321000002,-2.0797680488999997,5.567022552258065,5.39851052,10.538277858064516,12.915574143333334,22.504524451612905,26.55440563333333,17.713948935483874,9.763325011666666,5.7146616280645155,0.1195137156451613,0.5716160421428571,5.3385866564516125,7.896247393333334,17.09582119354839,21.225867666666666,13.174022032258064,4.741418443333333,0.5565707246774194,25.878226220607758,20.58146721124649,18.38149267435074,23.273616790771484,31.915842175483704,16.263768196105957,84.20255517959595,24.76735520362854,5.860186815261841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,26.0,21.0,7.0,2.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,13.0,8.0,10.0,9.0,20.0,10.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.92
2008,244395.1,260247.9,469830.0,1.92,-4.954181312903225,-4.860210565517241,3.7224878874193545,7.495973698666666,9.500975525806451,15.403147433333334,9.716225861290322,3.823109929133333,-0.8597234858064516,2.7149215416129033,3.919073701724138,13.426629922580647,18.087565066666667,19.643671758064517,26.28832913333333,19.450036951612905,11.35853986,5.4260765580645165,-2.2892515203225807,-1.498755081724138,7.696906322580645,12.480317179999998,14.61313456451613,20.8915467,13.716598967741936,6.6760315,1.283806602516129,14.803089141845703,15.847356081008911,24.751347422599792,25.39374154806137,22.19415044784546,14.551408767700195,32.41722297668457,78.14383029937744,54.54888439178467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,31.0,29.0,1.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,10.0,9.0,5.0,13.0,29.0,9.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.92
2009,265279.4,265279.4,723762.0,2.73,-0.8637921587096775,-0.2776750914285714,0.18933694806451604,5.27107342,9.2631669,15.045266733333333,8.565889445161291,5.408840975,-0.8677496229032258,6.119546203870969,6.26007515,8.424852016129032,14.343214933333334,18.81731787096774,25.8293274,17.46299991935484,13.406491043333334,6.781926329677419,1.6710785754838708,2.1716352157142857,3.7288680448387095,9.522133433333332,14.002150096774193,20.505243866666667,12.176874983870967,8.26023255,1.7923967822580646,61.57962691783905,46.13143062591553,28.22983032464981,29.50341796875,44.678884506225586,15.138033151626587,19.33468246459961,30.0656099319458,37.91286849975586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,16.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,11.0,11.0,13.0,9.0,17.0,17.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73
2010,253184.6,253984.6,554870.0,2.19,0.2672385132258065,1.2532152467857143,3.740034527096774,6.172183223333334,11.542306283870968,14.738084966666666,10.999608225806453,3.9607228583333334,1.73052782,7.021713751612904,8.4218914,13.040751816129033,15.5868358,21.713672322580646,24.383287566666663,20.852637483870968,11.720477383333334,8.592262503225806,2.7665119938709677,3.9238052249999997,7.649526259999999,10.570652313333333,16.642434483870968,19.502953133333335,14.988270403225805,6.708931506666667,4.335019996774194,44.117709159851074,43.29789870977402,15.107730031013489,34.95290791988373,28.290534019470215,39.709585189819336,24.8604793548584,51.039642333984375,70.69480502605438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,17.0,8.0,11.0,13.0,26.0,15.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.19
2011,218093.8,224693.9,777542.0,3.5700000000000003,-1.0513502458064516,-1.0658372946428571,0.7948864380322581,4.821588126666667,8.668388180645161,13.773887066666667,9.465947235483872,6.645422389999999,2.992831316129032,5.566172941935484,6.609728103571428,9.620793563870967,13.2078491,17.486313322580642,23.302710966666666,17.596783096774193,16.846857633333332,10.509175976451614,1.2475231567741936,1.7247325309285715,4.55092794967742,8.697490423333333,13.020355193548387,18.50987555,12.748266432258065,10.200552420000001,5.618462351612902,32.016135692596436,39.66983938217163,24.953081846237183,54.49909281730652,54.17638969421387,45.699117183685296,67.73718047142029,15.927056550979614,73.85117954015732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0,11.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,18.0,10.0,13.0,6.0,18.0,5.0,22.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.5700000000000003
2012,243885.6,243923.0,613489.0,2.52,-3.7368016162903226,-4.930101050689655,-0.9715871641935484,6.536419659999999,10.063185125806452,16.1869446,7.528947416129032,0.14040425733333334,-0.9438279594193548,2.095358562580645,2.406474186206897,7.061155214451613,17.163051433333333,19.185855064516126,27.257674166666668,16.288154822580644,7.973009200000001,6.906376995483871,-1.4940648169354838,-2.0144979562068963,2.4698092612903224,11.603939876666667,14.571445532258064,21.743755066666665,11.072939,2.929392499,1.803107485483871,60.03770864009857,32.85129249095917,19.530608654022217,25.073579788208008,52.77666616439819,17.761716842651367,43.5936918258667,11.044495582580566,36.67037892341614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,26.0,27.0,16.0,0.0,0.0,0.0,0.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,11.0,16.0,15.0,27.0,21.0,15.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52
2013,230600.9,230600.9,761080.0,3.3000000000000003,-1.0778168747096775,0.8827939850000001,2.322709580322581,6.666286183333333,12.350177322580645,15.247167899999999,10.90608164516129,5.777317328666666,1.2672896907741935,5.389217284838709,8.912056014285714,11.624988232258065,15.85059,22.388722032258066,25.968249566666668,19.815662935483868,13.1625213,7.579157706451613,1.2650806112903226,3.817672733928571,6.402520958064516,11.000124126666666,17.312747193548386,20.638194833333333,14.512648951612903,8.45118816,3.6131001449354843,21.05966341495514,25.453771114349365,17.52365118265152,36.41762065887451,39.620527267456055,14.098833560943604,43.166147232055664,31.563198804855347,49.11249852180481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,19.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,13.0,6.0,11.0,8.0,22.0,9.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3000000000000003
2014,232276.1,240377.7,650101.0,2.8000000000000003,0.19618471324193548,0.48639353725,2.861178483548387,6.847699996666666,10.305828470967743,14.158678183333333,6.935057651612904,5.417123406666667,-3.197886777580645,8.079480616129032,9.741068171428571,11.877994651612902,16.961006766666667,19.934403935483868,24.004806533333333,16.786716596774195,14.213701350000001,4.609134799612904,2.9236725883870966,3.8421772605,6.650121912903225,11.569768219999998,15.119989112903225,19.079608133333334,10.877582148387097,8.588581373333334,-0.41851116580645153,38.1831910610199,21.214877605438232,29.08756649494171,17.87812042236328,50.24714279174805,30.079721450805664,31.329261779785156,20.450830221176147,15.605543732643127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,18.0,8.0,13.0,13.0,20.0,16.0,14.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8000000000000003
2015,241645.4,241645.4,853627.0,3.53,-2.5695042719354837,-1.1295427514285714,2.4018889161290327,3.536403398,10.849851529032259,13.336792016666667,8.884877874193547,3.217620828043333,2.6403385237096773,4.522675537419355,5.212369619285715,10.344528651612903,13.211634226666666,20.85132035483871,22.144781466666664,17.701323548387098,10.921076379999999,9.350584948387096,0.18185817709677427,1.2665492346428573,5.63011617516129,8.010638436666666,15.788700161290322,17.694448833333336,12.51462870967742,6.064309631466667,4.936704566774194,31.473984003067017,35.88591551780701,37.15981134772301,18.409356594085693,44.414974212646484,48.229387283325195,53.06411361694336,52.325544357299805,27.229939222335815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,6.0,5.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,7.0,8.0,18.0,18.0,23.0,16.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.53
2016,271421.8,276641.8,734012.0,2.7,-2.715739628064516,1.9750713372413793,3.052058040645161,8.829724093333335,10.284475064516128,16.17198695,11.221089116129031,4.995179230000001,-1.5385978451935485,3.83056345,10.994170094482758,12.383108812903226,19.577455683333334,19.55155806451613,26.47305503333333,19.403863725806453,14.111012776666666,6.450906058064516,-0.1286276480645162,5.352589577241379,6.9999823,13.909407516666667,14.83240735483871,21.32750855,14.506400709677418,8.271887153333333,1.1275713543225807,31.794527173042297,19.14088201522827,21.34581208229065,20.393919229507446,51.26828098297119,18.79647445678711,46.84496784210205,8.396387338638306,5.596284866333008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,20.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,9.0,8.0,8.0,13.0,22.0,11.0,16.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7
2017,242241.6,242241.6,795535.0,3.28,-5.760019623225807,-3.0258440299999996,2.109555142903226,5.413160203333334,10.255268561290324,14.875679516666667,10.36910816451613,3.4121276843333335,-3.7955647139999997,0.0497485681612903,5.314147917500001,10.686190683870967,15.206796333333333,19.468797322580645,24.935013766666668,20.51554422580645,12.976252319999999,2.2176760198032257,-3.3330698196774193,0.1887795378571428,5.693634994193549,10.06294756,14.810332354838708,19.997457999999998,14.538900096774192,6.952222663333333,-1.4974384861290324,26.776745319366455,8.39932644367218,36.26862144470215,34.84231472015381,56.22084188461304,30.56092643737793,8.305946350097656,19.45330572128296,83.19200325012207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,29.0,22.0,6.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,18.0,7.0,7.0,7.0,25.0,17.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.28
2018,272564.0,274480.6,856917.0,3.14,-1.1270102273225806,2.3679210166071427,5.015718518064516,8.51790666,12.35675343548387,15.291311733333334,8.892231577419356,3.3756398523333333,1.6115456967741935,5.860684308064516,10.578383285714285,14.603550129032259,19.227727133333335,21.892636258064517,25.0847952,18.041769709677418,11.826338673333334,9.590614599999999,1.472758622903226,5.305569271428571,9.062121954838709,13.605069956666666,17.12250935483871,20.225427200000002,12.547770822580643,6.48630166,4.464553355806451,37.21510136127472,18.721231043338776,33.7052503824234,15.120322704315186,66.09183204174042,49.70255517959595,29.559487342834473,44.621718406677246,21.434558391571045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,7.0,13.0,7.0,12.0,15.0,13.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.14
2019,305319.8,305319.8,1006617.0,3.3000000000000003,-2.4695385379354837,0.3098318932142857,1.669093954935484,4.419747923333333,11.617627612903226,15.804323216666667,9.884777351612904,4.884399396999999,0.3635273628387097,3.4381438138709677,7.617546046428572,10.519803941935484,13.437158143333333,22.287474677419354,25.2180969,19.56189848387097,12.764646363333334,6.276223440322581,-0.07870580499999995,2.9885166785714286,5.406419319354838,8.676848286666665,16.92825114516129,20.457086166666667,13.89339035483871,7.75765485,2.6253642387096776,57.350433349609375,29.819895386695862,20.000036478042603,37.24910315871239,32.832844257354736,46.56201958656311,32.23216199874878,29.5174241065979,61.88523230570718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,23.0,11.0,8.0,2.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0,7.0,5.0,15.0,11.0,8.0,16.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.3000000000000003
2020,315443.8,315443.8,1027276.0,3.26,-2.375263820322581,-0.784007124413793,2.4879396461290324,5.8191152299999995,10.685538019354839,13.982187866666667,11.759819661290324,6.384069846666666,1.3856467032032258,3.4342395408064514,6.142953786206896,11.139739045161289,15.033620066666666,21.24482087096774,24.51660456666667,21.407729645161293,15.536170450000002,7.654049764516128,-0.26595872970967743,2.011143131034483,6.139154265967742,10.142641236666666,15.927352483870967,19.425463999999998,15.681511758064516,9.71138,3.590922688703226,34.78098440170288,35.630874276161194,21.112586975097656,25.41547703742981,43.13020062446594,21.812766925072992,13.570995807647705,24.25311506966318,55.97982168197632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,28.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,15.0,9.0,17.0,15.0,16.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26
2021,328533.6,334017.0,768266.0,2.34,-0.28925741741935485,-0.7715181782142857,0.25331657419354836,6.370041935333333,12.74080040967742,13.74576725,12.86784306451613,3.8788126689999998,2.032240348064516,7.625428264516129,8.240665984107142,9.08809436451613,16.30476578,23.881034516129034,23.2822581,22.957922258064517,11.71987102,9.564005148387096,2.7497726231612902,2.651457675,4.0037733451612905,10.968782517666666,18.203886951612905,18.56576738333333,16.945744741935485,6.70842994,4.588717526774193,33.16277360916138,12.644695043563843,28.01063323020935,27.06882154941559,21.550766944885254,21.992220401763916,15.686776333357557,14.936634063720703,23.903448700904846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,14.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,8.0,9.0,18.0,14.0,10.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34
2022,333107.8,336040.7,1055270.0,3.17,-4.3124468190322585,-1.498286644642857,-3.4066693841935485,7.292616786333332,9.992763393548387,14.86536455,8.929765332258064,5.846105945333333,-0.1806109132258065,1.9505703806451613,5.373202751785714,3.9740935291774195,18.109431949999998,19.7318195,24.1969594,18.737980951612904,14.340960749999999,6.450678654838709,-1.8924314529032258,1.1762629931607143,-0.20124470903225805,12.3810182,14.85414570967742,19.483508233333335,12.905342370967741,8.934531613333332,2.2077341558064516,43.73486888408661,31.94010305404663,35.950722217559814,21.882112741470337,30.9583044052124,24.82660906203091,7.23584771156311,24.781416416168213,59.173319578170776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,17.0,24.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,19.0,12.0,11.0,27.0,10.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.17
2023,330263.1,331163.1,1150516.0,3.48,-0.44486851290322577,-4.744331306357142,3.3216454377419353,5.365319825,9.807625116129032,14.031731166666667,10.040516490322581,5.424888086666667,2.2085620609677417,8.00208805483871,4.053952866785714,11.394987045161292,14.477561516666666,18.864259741935484,22.842773333333334,18.360468758064513,13.91224165,10.007063448387097,2.4421061738709677,-1.3395026321428571,6.693917529032258,9.51904406,14.264611096774194,18.421342,13.301078500000001,8.503368126666667,4.952340389354839,11.985706448554993,18.084791660308838,33.25599122047424,38.227111756801605,61.776641607284546,52.376227378845215,18.052072525024414,20.783331871032715,15.428007602691652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,21.0,9.0,13.0,6.0,18.0,14.0,19.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.48
2024,297563.3,343136.2,852876.0,2.87,0.8604175348387096,1.6618505031034483,2.9976885722580646,9.97168784,10.708624090322582,19.032337433333335,11.393009258064517,7.081203235,2.8164741870967744,6.980065174193549,9.747560710344828,12.461860964516129,20.181203200000002,19.625753064516132,29.967765333333332,20.990351419354838,15.22757859,10.865937261290322,3.1565630403225806,4.637762657586206,7.042890038709678,14.742060293333333,15.015245129032259,24.471842433333332,15.23827729032258,10.171378616666667,5.6750684935483875,32.36918479204178,16.611911296844482,17.78471577167511,22.535857024492827,53.58603736758232,12.758313523721881,16.080381393432617,50.87139189243317,28.269330143928528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,13.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,15.0,24.0,10.0,8.0,15.0,24.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.87
