Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7001","January","LCU","369","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7002","February","LCU","375","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7003","March","LCU","369","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7004","April","LCU","365","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7005","May","LCU","367","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7006","June","LCU","381","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7007","July","LCU","387","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7008","August","LCU","402","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7009","September","LCU","424","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7010","October","LCU","431","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7011","November","LCU","436","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7012","December","LCU","446","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7001","January","LCU","462","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7002","February","LCU","469","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7003","March","LCU","474","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7004","April","LCU","486","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7005","May","LCU","482","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7006","June","LCU","471","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7007","July","LCU","462","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7008","August","LCU","467","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7009","September","LCU","480","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7010","October","LCU","493","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7011","November","LCU","498","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7012","December","LCU","505","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7001","January","LCU","505","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7002","February","LCU","514","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7003","March","LCU","524","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7004","April","LCU","532","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7005","May","LCU","546","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7006","June","LCU","536","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7007","July","LCU","545","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7008","August","LCU","562","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7009","September","LCU","576","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7010","October","LCU","585","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7011","November","LCU","601","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7012","December","LCU","617","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7001","January","LCU","609","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7002","February","LCU","613","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7003","March","LCU","612","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7004","April","LCU","613","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7005","May","LCU","608","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7006","June","LCU","579","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7007","July","LCU","567","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7008","August","LCU","566","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7009","September","LCU","565","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7010","October","LCU","567","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7011","November","LCU","572","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7012","December","LCU","580","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2014","2014","7001","January","LCU","583","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2014","2014","7002","February","LCU","588","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2014","2014","7003","March","LCU","592","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2014","2014","7004","April","LCU","592","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2014","2014","7005","May","LCU","597","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2014","2014","7006","June","LCU","618","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2014","2014","7007","July","LCU","640","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2014","2014","7008","August","LCU","655","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2014","2014","7009","September","LCU","644","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2014","2014","7010","October","LCU","646","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2014","2014","7011","November","LCU","651","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2014","2014","7012","December","LCU","653","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2015","2015","7001","January","LCU","659","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2015","2015","7002","February","LCU","667","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2015","2015","7003","March","LCU","663","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2015","2015","7004","April","LCU","660","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2015","2015","7005","May","LCU","668","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2015","2015","7006","June","LCU","658","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2015","2015","7007","July","LCU","621","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2015","2015","7008","August","LCU","627","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2015","2015","7009","September","LCU","626","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2015","2015","7010","October","LCU","625","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2015","2015","7011","November","LCU","634","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2015","2015","7012","December","LCU","636","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2016","2016","7001","January","LCU","646","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2016","2016","7002","February","LCU","656","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2016","2016","7003","March","LCU","655","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2016","2016","7004","April","LCU","659","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2016","2016","7005","May","LCU","658","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2016","2016","7006","June","LCU","676","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2016","2016","7007","July","LCU","692","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2016","2016","7008","August","LCU","696","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2016","2016","7009","September","LCU","698","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2016","2016","7010","October","LCU","699","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2016","2016","7011","November","LCU","704","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2016","2016","7012","December","LCU","711","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2018","2018","7001","January","LCU","836","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2018","2018","7002","February","LCU","828","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2018","2018","7003","March","LCU","832","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2018","2018","7004","April","LCU","832","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2018","2018","7005","May","LCU","841","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2018","2018","7006","June","LCU","830","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2018","2018","7007","July","LCU","834","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2018","2018","7008","August","LCU","842","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2018","2018","7009","September","LCU","891","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2018","2018","7010","October","LCU","900","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2018","2018","7011","November","LCU","911","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2018","2018","7012","December","LCU","923","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2019","2019","7001","January","LCU","942","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2019","2019","7002","February","LCU","969","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2019","2019","7003","March","LCU","979","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2019","2019","7004","April","LCU","1031","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2019","2019","7005","May","LCU","1066","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2019","2019","7006","June","LCU","1089","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2019","2019","7007","July","LCU","1101","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2019","2019","7008","August","LCU","1125","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2019","2019","7009","September","LCU","1123","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2019","2019","7010","October","LCU","1132","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2019","2019","7011","November","LCU","1139","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2019","2019","7012","December","LCU","1171","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7001","January","LCU","1202.3","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7002","February","LCU","1204.9","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7003","March","LCU","1209.3","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7004","April","LCU","1219.4","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7005","May","LCU","1205.9","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7006","June","LCU","1239.9","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7007","July","LCU","1264.4","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7008","August","LCU","1288.1","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7009","September","LCU","1305.6","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7010","October","LCU","1349.7","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7011","November","LCU","1409.8","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7012","December","LCU","1440.4","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7001","January","LCU","1461.5","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7002","February","LCU","1496.6","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7003","March","LCU","1507.2","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7004","April","LCU","1565.7","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7005","May","LCU","1664.7","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7006","June","LCU","1879","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7007","July","LCU","1955.9","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7008","August","LCU","2047.5","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7009","September","LCU","2048.8","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7010","October","LCU","2099.2","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7011","November","LCU","2238.5","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7012","December","LCU","2627.9","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7001","January","LCU","2900.8","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7002","February","LCU","3022.6","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7003","March","LCU","3445.6","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7004","April","LCU","3919.9","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7005","May","LCU","4579.9","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7006","June","LCU","5480.1","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7007","July","LCU","5743","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7008","August","LCU","5929.7","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7009","September","LCU","5843.5","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7010","October","LCU","5896","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7011","November","LCU","5823.6","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7012","December","LCU","5811.3","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7001","January","LCU","5822.1","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7002","February","LCU","5827.9","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7003","March","LCU","5819.4","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7004","April","LCU","5826","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7005","May","LCU","5941.4","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7006","June","LCU","6283.1","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7007","July","LCU","6537.1","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7008","August","LCU","6664.7","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7009","September","LCU","6528.4","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7010","October","LCU","6376.2","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7011","November","LCU","6446.8","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7012","December","LCU","6706.3","A","Official figure"
